ID_SPPG,Status_Pengajuan,Status_Operasional,Kota_Kabupaten,Provinsi,Alamat
SKF6SHOA,Penentuan KA SPPG,Belum Beroperasi,KAB. SUMEDANG,JAWA BARAT,"SINDANGGALIH, KEC.CIMANGGUNG KABUPATEN SUMEDANG JAWA BARAT 45364, SINDANGGALIH, CIMANGGUNG, KAB. SUMEDANG, JAWA BARAT"
VDLE1WQF,Penentuan KA SPPG,Belum Beroperasi,KAB. MALANG,JAWA TIMUR,"Jl. P Diponegoro RT.007 RW. 002 Desa Gading Kecamatan Bululawang Kabupaten Malang, GADING, BULULAWANG, KAB. MALANG, JAWA TIMUR"
YKYHK2PF,Penentuan KA SPPG,Belum Beroperasi,KAB. BOGOR,JAWA BARAT,"Jl. Cendana No 18 RT.02 RW.05 Pondokmiri Rawakalong Gunung Sindur Bogor , RAWAKALONG, GUNUNG SINDUR, KAB. BOGOR, JAWA BARAT"
6BD4IGAM,Penentuan KA SPPG,Belum Beroperasi,KAB. JEPARA,JAWA TENGAH,"Jl. Raya desa Daren , DAREN, NALUMSARI, KAB. JEPARA, JAWA TENGAH"
TEAICGXL,Penentuan KA SPPG,Belum Beroperasi,KAB. KARAWANG,JAWA BARAT,"Dusun sukajaya 01/01 Desa Kemiri Kecmatan Jayakerta Kabupaten Karawang Provinsi Jawa Barat, KEMIRI, JAYAKERTA, KAB. KARAWANG, JAWA BARAT"
IVQH4L4W,Penentuan KA SPPG,Belum Beroperasi,KAB. BANGKALAN,JAWA TIMUR,"DUSUN SENDIH DESA CANGKARMAN KECAMATAN KONANG KABUPATEN BANGKALAN, CANGKAREMAN, KONANG, KAB. BANGKALAN, JAWA TIMUR"
Z8FP8IQ0,Penentuan KA SPPG,Belum Beroperasi,KAB. BEKASI,JAWA BARAT,"Jl. Raya Lemah Abang no 196 Kp. Cibeber Desa Simpangan Kec. Cikarang Utara Kabupaten Bekasi, SIMPANGAN, CIKARANG UTARA, KAB. BEKASI, JAWA BARAT"
CDLU2ARE,Penentuan KA SPPG,Belum Beroperasi,KAB. PATI,JAWA TENGAH,"Ds.Kayen,Kec Kayen,, KabPati, SLUNGKEP, KAYEN, KAB. PATI, JAWA TENGAH"
MFDP5QLD,Penentuan KA SPPG,Belum Beroperasi,KOTA PADANG,SUMATERA BARAT,"Komplek Perumahan Hippocrates Houses, Blok A No.4, Kelurahan Ikur Koto, Koto Tangah, Kota Padang, KOTO PANJANG IKUA KOTO, KOTO TANGAH, KOTA PADANG, SUMATERA BARAT"
B4JK7I4T,Penentuan KA SPPG,Belum Beroperasi,KAB. BLORA,JAWA TENGAH,"SUKOLILO RT 001/RW 007 KELURAHAN NGAWEN KECAMATAN NGAWEN KABUPATEN BLORA , NGAWEN, NGAWEN, KAB. BLORA, JAWA TENGAH"
YQ6NMQZZ,Penentuan KA SPPG,Belum Beroperasi,KAB. PATI,JAWA TENGAH,"Tambakromo,Kec Tambakromo, TAMBAKROMO, TAMBAKROMO, KAB. PATI, JAWA TENGAH"
DIQBYFPU,Penentuan KA SPPG,Belum Beroperasi,KAB. KARANGANYAR,JAWA TENGAH,"Dk. Grenjeng No. 26 RT 03 RW 02 , DAYU, GONDANGREJO, KAB. KARANGANYAR, JAWA TENGAH"
SKBOPTFC,Penentuan KA SPPG,Belum Beroperasi,KAB. WAY KANAN,LAMPUNG,"Jln. Utma PonPes No. 01 Tanjung Serupa Sp 6 B, Kec. Pakuan Ratu Kab. Way Kanan Lampung, TANJUNG SERUPA, PAKUAN RATU, KAB. WAY KANAN, LAMPUNG"
NIGGNEUY,Penentuan KA SPPG,Belum Beroperasi,KAB. PURWOREJO,JAWA TENGAH,"Jalan Magelang KM 11, RT 003/004, Kaliboto, Kecamatan Bener, Kabupaten Purworejo, Jawa Tengah,
Indonesia, Titik Koordinat -7.639427926232401, 110.0511674345254, KALIBOTO, BENER, KAB. PURWOREJO, JAWA TENGAH"
SRD4GEJM,Penentuan KA SPPG,Belum Beroperasi,KAB. GARUT,JAWA BARAT,"Jl blok makam desa Cangkuang  kecamatan Leles kabupaten Garut, CANGKUANG, LELES, KAB. GARUT, JAWA BARAT"
RNZOBTSU,Penentuan KA SPPG,Belum Beroperasi,KAB. WAY KANAN,LAMPUNG,"Rt.02 Rw.01 kampung negara harja kec.pakuan ratu kab.way kanan, NEGARA HARJA, PAKUAN RATU, KAB. WAY KANAN, LAMPUNG"
WKZFPITZ,Penentuan KA SPPG,Belum Beroperasi,KAB. MUSI BANYUASIN,SUMATERA SELATAN,"Dusun 5 Sidorahayu rt/rw. 000/005
Kec. Plakat tinggi
Kab. Musi banyuasin, SIDO RAHAYU, PLAKAT TINGGI, KAB. MUSI BANYUASIN, SUMATERA SELATAN"
RLNRHSRV,Penentuan KA SPPG,Belum Beroperasi,KAB. MUSI BANYUASIN,SUMATERA SELATAN,"Desa Penggage RT. 001, Kec Sanga Desa. Kab. Musi Banyuasin, Sumatera Selatan, PENGGAGE, SANGA DESA, KAB. MUSI BANYUASIN, SUMATERA SELATAN"
HCSMKFOJ,Penentuan KA SPPG,Belum Beroperasi,KAB. SUKABUMI,JAWA BARAT,"Jl. Parungseah No.43 KM.4 Desa Cipetir Kec. Kadudampit Kab. Sukabumi Provinsi Jawa Barat, CIPETIR, KADUDAMPIT, KAB. SUKABUMI, JAWA BARAT"
XCJNBUBW,Penentuan KA SPPG,Belum Beroperasi,KAB. PURWOREJO,JAWA TENGAH,"Desa Depokrejo RT01 / RW01, Kecamatan Ngombol ( 54172 ), Kabupaten Purworejo, Jawa Tengah, DEPOKREJO, NGOMBOL, KAB. PURWOREJO, JAWA TENGAH"
JJRLYC4Z,Penentuan KA SPPG,Belum Beroperasi,KAB. KARANGANYAR,JAWA TENGAH,"Harjanto Catering - Jl. Panda 2, Karangrejo RT.02, RW.06, Kel. Karanganyar, Kec. Karanganyar, Kab Karanganyar Jawa Tengah 57711, KARANGANYAR, KARANGANYAR, KAB. KARANGANYAR, JAWA TENGAH"
VMPYNSWX,Penentuan KA SPPG,Belum Beroperasi,KAB. KARANGANYAR,JAWA TENGAH,"Josca Catering - Jl. Srikaton, Tawangmangu RT.05, RW.01, Kel. Tawangmangu, Kec. Tawangmangu, kab. Karanganyar - Jawa Tengah 57792, TAWANGMANGU, TAWANGMANGU, KAB. KARANGANYAR, JAWA TENGAH"
WTOWKGLO,Penentuan KA SPPG,Belum Beroperasi,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,"KEPUHSARI-KRODAN 007/005, MAGUWOHARJO, DEPOK, SEMAN, MAGUWOHARJO, DEPOK, KAB. SLEMAN, DAERAH ISTIMEWA YOGYAKARTA"
KB26EWWR,Penentuan KA SPPG,Belum Beroperasi,KAB. BANYUASIN,SUMATERA SELATAN,"Jalan Thalib Wali No.3-4 Rt.10 Rw.04 Kelurahan Pangkalan Balai Kecamatan Banyuasin III Kabupaten Banyuasin Propinsi Sumatera Selatan, PANGKALAN BALAI, BANYUASIN III, KAB. BANYUASIN, SUMATERA SELATAN"
AHHENWN4,Penentuan KA SPPG,Belum Beroperasi,KOTA SEMARANG,JAWA TENGAH,"JL BANGUNHARJO BARAT NO. 1, BANYUMANIK
KOTA SEMARANG 50261 - JAWA TENGAH, BANYUMANIK, BANYUMANIK, KOTA SEMARANG, JAWA TENGAH"
TVQX7CPE,Penentuan KA SPPG,Belum Beroperasi,KAB. PURWOREJO,JAWA TENGAH,"Desa Harjobinangun, Kecamatan Grabag ( 54265 ), Kabupaten Purworejo, Jawa Tengah, HARJOBINANGUN, GRABAG, KAB. PURWOREJO, JAWA TENGAH"
LG1ZTWA3,Penentuan KA SPPG,Belum Beroperasi,KAB. SIDENRENG RAPPANG,SULAWESI SELATAN,"Jalan Sultan Hasanuddin, WALA, MARITENGNGAE, KAB. SIDENRENG RAPPANG, SULAWESI SELATAN"
OT06IYBC,Penentuan KA SPPG,Belum Beroperasi,KAB. CIREBON,JAWA BARAT,"Jalan Wijaya Kusuma No. 59, Desa Babakan, Kecamatan Ciwaringin, Kabupaten Cirebon, Jawa Barat, BABAKAN, BABAKAN, KAB. CIREBON, JAWA BARAT"
BEYRXWIF,Penentuan KA SPPG,Belum Beroperasi,KAB. CIAMIS,JAWA BARAT,"Jl. Ahmad Yani No. 221 Kelurahan Kertasari Kecamatan Ciamis Kabupaten Ciamis Jawa Barat, KERTASARI, CIAMIS, KAB. CIAMIS, JAWA BARAT"
E6R1WMEV,Penentuan KA SPPG,Belum Beroperasi,KAB. LOMBOK TIMUR,NUSA TENGGARA BARAT,"Jalan pendidikan, Desa Aikdewa, Kecamatan Pringgasela, Kabupaten Lombok Timur, NTB., AIK DEWA, PRINGGASELA, KAB. LOMBOK TIMUR, NUSA TENGGARA BARAT"
TZKE5NWA,Penentuan KA SPPG,Belum Beroperasi,KAB. BANJAR,KALIMANTAN SELATAN,"Rumah Makan & Catering Ibu Arlin, jalan Rahayu No 38A Sungai Paring, Martapura, Kabupaten Banjar - Kalimantan Selatan, SUNGAI PARING, MARTAPURA, KAB. BANJAR, KALIMANTAN SELATAN"
XDJLSZSO,Penentuan KA SPPG,Belum Beroperasi,KAB. BREBES,JAWA TENGAH,"Ketanggungan RT.05 RW.04 Kec. Ketanggungan, KETANGGUNGAN, KETANGGUNGAN, KAB. BREBES, JAWA TENGAH"
KRSGDA6P,Penentuan KA SPPG,Belum Beroperasi,KOTA SUKABUMI,JAWA BARAT,"JLN. SEJAHTERA SUKAKARYA RT 003/RW 011.KEL.SUKAKARYA . KOTA SUKABUMI, SUKAKARYA, WARUDOYONG, KOTA SUKABUMI, JAWA BARAT"
NEHAFUNH,Penentuan KA SPPG,Belum Beroperasi,KAB. SUMEDANG,JAWA BARAT,"Jl. Pangeran Sugih No.8 Kelurahan Regol Wetan Kecamatan Sumedang Selatan Kabupaten Sumedang Jawa Barat , REGOL WETAN , SUMEDANG SELATAN, KAB. SUMEDANG, JAWA BARAT"
PUPAWIH7,Penentuan KA SPPG,Belum Beroperasi,KAB. SUMEDANG,JAWA BARAT,"Jl. Prabu Gajah Agung No.120 Kelurahan Situ Kecamatan Sumedang Utara Kabupaten Sumedang Jawa Barat, SITU, SUMEDANG UTARA, KAB. SUMEDANG, JAWA BARAT"
AGNSDJXP,Penentuan KA SPPG,Belum Beroperasi,KAB. BANDUNG,JAWA BARAT,"Solokanjeruk RT.002 RW.003. Desa SOLOKANJERUK Kec Solokanjeruk, Kabupaten Bandung Provinsi Jawa Barat
Titik Kordinat: -7.010604,107.748030, SOLOKANJERUK, SOLOKANJERUK, KAB. BANDUNG, JAWA BARAT"
B75MN2SU,Penentuan KA SPPG,Belum Beroperasi,KAB. MAJALENGKA,JAWA BARAT,"Lingk.Margaraharja RT.001 RW.001 Kel.Cicurug Kec.Majalengka , CICURUG, MAJALENGKA, KAB. MAJALENGKA, JAWA BARAT"
MZT2JOAB,Penentuan KA SPPG,Belum Beroperasi,KAB. JEMBER,JAWA TIMUR,"JALAN BRANJANGAN NO.1 PATRANG JEMBER, BINTORO, PATRANG, KAB. JEMBER, JAWA TIMUR"
RPLAJVAP,Penentuan KA SPPG,Belum Beroperasi,KAB. BANGKALAN,JAWA TIMUR,"DSN KWANYAR RT 002 / RW 003 BUMI ANYAR TANJUNGBUMI BANGKALAN, BUMI ANYAR, TANJUNG BUMI, KAB. BANGKALAN, JAWA TIMUR"
LUD0ZWLE,Penentuan KA SPPG,Belum Beroperasi,KAB. KETAPANG,KALIMANTAN BARAT,"Jl Rahadi Usman Dusun Sei Sirih Desa Sei Besar, SUNGAI BESAR, MATAN HILIR SELATAN, KAB. KETAPANG, KALIMANTAN BARAT"
EQEX4UFS,Penentuan KA SPPG,Belum Beroperasi,KAB. PANDEGLANG,BANTEN,"Belakang Terminal Bus Labuan, Kp. Kaduparasi 015/005 Ds Margasana Kec. Pagelaran Kab. Pandeglang Banten, MARGASANA, PAGELARAN, KAB. PANDEGLANG, BANTEN"
7KBUERHB,Penentuan KA SPPG,Belum Beroperasi,KAB. ACEH TIMUR,ACEH,"JL. Lintas Banda Aceh-Medan No 1,2 Alue Nibong, Kecamatan Peureulak, Kabupaten Aceh Timur, Aceh 24453, ALUE NIBONG, PEUREULAK, KAB. ACEH TIMUR, ACEH"
9GQQ0TQZ,Penentuan KA SPPG,Belum Beroperasi,KOTA SUBULUSSALAM,ACEH,"Jl. Syeh Hamzah Fansuri KM2 Desa Lae Pemualan Kec. Rundeng Kota Subulussalam Prov. Aceh, LAE PEMULAAN, RUNDENG, KOTA SUBULUSSALAM, ACEH"
QUHIQ09J,Penentuan KA SPPG,Belum Beroperasi,KAB. ACEH SELATAN,ACEH,"Jl. TR. Angkasah Lhok Bengkuang, Tapak Tuan, Aceh Selatan, LHOK BENGKUANG, TAPAKTUAN, KAB. ACEH SELATAN, ACEH"
QGVNZHRZ,Penentuan KA SPPG,Belum Beroperasi,KAB. SUMEDANG,JAWA BARAT,"Jl. Panyindangan No 16 , KOTA KULON , SUMEDANG SELATAN, KAB. SUMEDANG, JAWA BARAT"
IE2RVZ72,Penentuan KA SPPG,Belum Beroperasi,KAB. TEGAL,JAWA TENGAH,"Jalan Raya Tegal-Pemalang Kelurahan Kedungkelor, Kecamatan Warureja, Kabupaten Tegal (Kode Pos: 52183), KEDUNGKELOR, WARUREJA, KAB. TEGAL, JAWA TENGAH"
R3VTKKWA,Penentuan KA SPPG,Belum Beroperasi,KAB. SAMPANG,JAWA TIMUR,"Jl. Raya Krampon Dusun Krampon Tengah Desa Krampon, Kecamatan Torjun, Kabupaten Sampang Provinsi Jawa Timur , KRAMPON, TORJUN, KAB. SAMPANG, JAWA TIMUR"
LGDVULFR,Penentuan KA SPPG,Beroperasi,KAB. JENEPONTO,SULAWESI SELATAN,"jl. poros jeneponto bantaeng, TOGO TOGO, BATANG, KAB. JENEPONTO, SULAWESI SELATAN"
YGTDOECU,Penentuan KA SPPG,Belum Beroperasi,KAB. MAGELANG,JAWA TENGAH,"Mangli, Girirejo, Ngablak, Magelang Regency, Central Java 56194, GIRIREJO, NGABLAK, KAB. MAGELANG, JAWA TENGAH"
KDPJLNYE,Penentuan KA SPPG,Belum Beroperasi,KAB. CILACAP,JAWA TENGAH,"DUSUN TEGALSARI RT 04 RW 05 DESA KAWUNGANTERN LOR KEC. KAWUNGANTEN KAB. CILACAP, KAWUNGANTEN LOR, KAWUNGANTEN, KAB. CILACAP, JAWA TENGAH"
BBRVPHKO,Penentuan KA SPPG,Belum Beroperasi,KAB. CILACAP,JAWA TENGAH,"Jalan raya Pahonjean Cibeunying Kec Majenang Cilacap, CIBEUNYING, MAJENANG, KAB. CILACAP, JAWA TENGAH"
KYTTB6H8,Penentuan KA SPPG,Belum Beroperasi,KAB. CILACAP,JAWA TENGAH,"Jl Matahari no. 14 Tanjungsari Sindangsari kec Majenang, SINDANGSARI, MAJENANG, KAB. CILACAP, JAWA TENGAH"
PGMG2UUW,Penentuan KA SPPG,Belum Beroperasi,KOTA SEMARANG,JAWA TENGAH,"Jangli, Kec. Tembalang, Kota Semarang, Jawa Tengah, JANGLI, TEMBALANG, KOTA SEMARANG, JAWA TENGAH"
JTVHXDCC,Penentuan KA SPPG,Belum Beroperasi,KAB. JEMBRANA,BALI,"JL. NGURAH RAI NO. 111, DAUHWARU, JEMBRANA, KAB. JEMBRANA, BALI"
AZVLGGWD,Penentuan KA SPPG,Belum Beroperasi,KAB. PIDIE JAYA,ACEH,"Jl Lingkar Desa Meunasah Dayah Kecamatan Bandar Baru Kabupaten Pidie Jaya Provinsi Aceh, KEUDE LUENG PUTU, BANDAR BARU, KAB. PIDIE JAYA, ACEH"
Y6ZY3VLF,Penentuan KA SPPG,Belum Beroperasi,KOTA BEKASI,JAWA BARAT,"Jalan M Hasibuan no 2, MARGAHAYU, BEKASI TIMUR, KOTA BEKASI, JAWA BARAT"
SXVL8WAX,Penentuan KA SPPG,Belum Beroperasi,KAB. SUKABUMI,JAWA BARAT,"Jl. Taman jaya Kp. Cigaok Desa Taman Jaya Kec. Ciemas, TAMANJAYA, CIEMAS, KAB. SUKABUMI, JAWA BARAT"
GCHY08LL,Penentuan KA SPPG,Belum Beroperasi,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,"Jl. Nitikan Baru no 36 sorosutan, umbulharjo, yogyakarta, SOROSUTAN, UMBULHARJO, KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA"
W3OY1TSK,Penentuan KA SPPG,Belum Beroperasi,KOTA LHOKSEUMAWE,ACEH,"Jln. Listrik Sp. Besi Tua No. 5-6
, HAGU TEUNGOH, BANDA SAKTI, KOTA LHOKSEUMAWE, ACEH"
MF95HDNP,Penentuan KA SPPG,Belum Beroperasi,KAB. BANGKALAN,JAWA TIMUR,"Jl. Halim Perdana Kusuma, MLAJAH, BANGKALAN, KAB. BANGKALAN, JAWA TIMUR"
WBN1S8XZ,Penentuan KA SPPG,Belum Beroperasi,KAB. ACEH BARAT DAYA,ACEH,"Jl. Tgk. Alian. Kepala Bandar. Kecamatan Susoh. Kabupaten Aceh Barat Daya , KEPALA BANDAR, SUSOH, KAB. ACEH BARAT DAYA, ACEH"
PJEHNSCB,Penentuan KA SPPG,Belum Beroperasi,KAB. BONE,SULAWESI SELATAN,"poleonro kecamatan lamuru kabupaten bone, POLEONRO, LAMURU, KAB. BONE, SULAWESI SELATAN"
AVEESCGE,Penentuan KA SPPG,Belum Beroperasi,KAB. SUKABUMI,JAWA BARAT,"Jl. Kadudampit No.KM. 3, RT.16/RW.03, Gunungjaya, Kec. Cisaat, Kabupaten Sukabumi, Jawa Barat 43152, GUNUNGJAYA, CISAAT, KAB. SUKABUMI, JAWA BARAT"
5ZJ7W4QO,Penentuan KA SPPG,Belum Beroperasi,KAB. TANGGAMUS,LAMPUNG,"Jl. Taman Nasional Bukit Barisan Selatan, Pekon Tugu Papak, Kecamatan Semaka Kabupaten Tanggamus Provinsi Lampung, TUGU PAPAK, SEMAKA, KAB. TANGGAMUS, LAMPUNG"
HE1E61VC,Penentuan KA SPPG,Belum Beroperasi,KAB. LAMPUNG TIMUR,LAMPUNG,"Desa Braja Sakti, Rt. 018 Rw. 006 Kec. Way Jepara Kab.Lampung Timur Provinsi Lampung, BRAJA SAKTI, WAY JEPARA, KAB. LAMPUNG TIMUR, LAMPUNG"
FGHX2IA8,Penentuan KA SPPG,Belum Beroperasi,KAB. BANDUNG,JAWA BARAT,"Kampung Cimenteng Kelurahan Jagabaya Kecamatan Cimaung, Kabupaten Bandung, Provinsi Jawa Barat seluas , JAGABAYA, CIMAUNG, KAB. BANDUNG, JAWA BARAT"
18ONFVV4,Penentuan KA SPPG,Belum Beroperasi,KAB. BOGOR,JAWA BARAT,"Kp. Babakan Rt. 03/07 No. 99 Desa Dayeuh Kec. Cileungsi Kab. Bogor, Provinsi Jawa Barat, Dengan luas tanah 1000 m², DAYEUH, CILEUNGSI, KAB. BOGOR, JAWA BARAT"
MTYI7OME,Penentuan KA SPPG,Belum Beroperasi,KOTA TASIKMALAYA,JAWA BARAT,"Jl. Siliwangi No. 97A/B RT/RW 001/008, KAHURIPAN, TAWANG, KOTA TASIKMALAYA, JAWA BARAT"
FJUZJ2VX,Penentuan KA SPPG,Belum Beroperasi,KAB. PEKALONGAN,JAWA TENGAH,"Jalan Kuri'an Kelurahan Kwayangan, Kecamatan Kedungwuni, Kabupaten Pekalongan, KWAYANGAN, KEDUNGWUNI, KAB. PEKALONGAN, JAWA TENGAH"
KKHTJORS,Penentuan KA SPPG,Belum Beroperasi,KOTA MEDAN,SUMATERA UTARA,"Jln. STM No. 29 Kel. Suka Maju Kec. Medan Johor Kota Medan , SUKA MAJU, MEDAN JOHOR, KOTA MEDAN, SUMATERA UTARA"
2AY4XDQ7,Penentuan KA SPPG,Belum Beroperasi,KAB. SUKABUMI,JAWA BARAT,"Kp. Babakan Tipar RT 36 RW 02, CIMAHI, CICANTAYAN, KAB. SUKABUMI, JAWA BARAT"
TLUXPBQH,Penentuan KA SPPG,Belum Beroperasi,KAB. PATI,JAWA TENGAH,"Desa Ngablak 02/02 Cluwak, Pati, Jawa Tengah, NGABLAK, CLUWAK, KAB. PATI, JAWA TENGAH"
